SHA-1,Filename,Detection,Description
54547180A99474B0DBA289D92C4A8F3EEA78B531,2Gk8.exe,Win32/Loader.Lycaon.Y.gen,AbyssKiller EDR killer.
75F85CAEA52FE5A124FA77E2934ABD3161690ADD,smuot.sys,Win64/Rootkit.Agent.DX,The ABYSSWORKER rootkit.
002573D80091F7F8167BCBDA3A402B85FA915F19,lasdjfioasdjfioer.exe,Win64/HackTool.EDRSilencer.C,EDRSilencer EDR killer.
1E7567C0D525AD037FBBBAFB643BF40541994411,EDR-Freeze.exe,Win64/HackTool.EDRFreeze.A,EDR-Freeze EDR killer.
65C2388B0AFB1D1F1860BB887456D8D6CD8B5645,Killer.exe,Win64/KillAV.DQ,EDRKillShifter EDR killer.
A9F37104D2D89051F34E1486BC6EBFF44D147E67,EDRGay.exe,Win32/KillAV.NVJ,DLKiller EDR killer.
083F604377D74C4377822EF35021E34AD7DACEEA,susanoo.exe,Win64/KillAV.CQ,Susanoo EDR killer.
570161A420992280A8ECED253EDC800296B72D1C,vmtools.exe,Win32/KillAV.NVL,HexKiller EDR killer.
BBE0E14BC7ECE8A7A1236D5A12E30476CFCEF110,Test.exe,WinGo/KillAV.M,SevexKiller EDR killer.
31CE76931CA09D3918B34E3187703BC72E6D647E,TfSysMon-Killer.exe,Win64/KillAV.DP,TfSysMon-Killer EDR killer.
B9820BF443C375577CEEF44B9491E3A569A1B9E8,deadav.exe,WinGo/KillAV.L,dead-av EDR killer.
34270B07538B7357CF10D0D5BDA68F234B602F93,zcasdfhsdjfhoqewruoqwe.exe,Win64/KillAV.DP,GhostDriver EDR killer.
09735640D6634B0303755A9FD3B2BC80F932126C,pip.exe,Win32/KillAV.NVQ,SmilingKiller EDR killer.
85BC0A4F67522D6AC6BE64D763E65A2945EC5028,kill-floor.exe,Win64/KillAV.AV,kill-floor EDR killer.
711C95FEAD2215E9AC59E32E6E3B0D71AD5C5AA5,demor.exe,Win64/Agent.GAJ,DemoKiller EDR killer.
BC65ED919988C8E4B8F5A1CD371745456601700A,demo.exe,Win64/KillAV.DR,DemoKiller EDR killer.
148C0CDE4F2EF807AEA77D7368F00F4C519F47EF,kihost.sys,Win64/VulnDriver.Baidu.D,Baidu Antivirus BdApi vulnerable driver.
468121E7D6952799F92940677268937C4C5F92ED,K7RKScan_1516.sys,Win64/VulnDriver.K7Computing.A,K7RKScan Kernel Module vulnerable driver.
C881F43C7FE94A6F056A84DA8E9A32FE56D8DD9C,kill.sys,Win64/Riskware.PCTools.A,ThreatFire System Monitor vulnerable driver.
67D17CA90880B448D5C3B40F69CEC04D3649F170,1721894530.sys,Win64/VulnDriver.RentDrv.A,Rentdrv2 vulnerable driver.
F329AE0FDF1E198BEA6BA787E59CB73F90714002,data.sys,Win64/VulnDriver.AMD.E,USB-C Power Delivery Firmware Update Utility vulnerable driver.
82ED942A52CDCF120A8919730E00BA37619661A3,rwdrv.sys,Win64/VulnDriver.GPUZ.B,ThrottleStop vulnerable driver.
CE1B9909CEF820E5281618A7A0099A27A70643DC,hlpdrv.sys,Win64/Agent.GRL,Custom rootkit used by CardSpaceKiller.
5D6B9E80E12BFC595D4D26F6AFB099B3CB471DD4,kallmekris.sys,Win64/VulnDriver.Avast.A,Avast anti-rootkit vulnerable driver.
7310D6399683BA3EB2F695A2071E0E45891D743B,Sysprox.sys,Win64/VulnDriver.ITMSystem.A,ITM SYSTEM File Filter vulnerable driver.
C85C9A09CD1CB1691DA0D96772391BE6DDBA3555,kl.sys,Win64/VulnDriver.Rising.A,Beijing Rising Network Security vulnerable driver.
6EE94F6BDC4C4ED0FFF621FEC36C70FF093659ED,msupdate.sys,Win32/IP-guard.E,OCular THelper vulnerable driver.
BA14C43031411240A0836BEDF8C8692B54698E05,praxisbackup.exe,Win64/Agent.ECW,MS4Killer EDR killer.
127B50C8185986A52AE66BF6E7E67A6FD787C4FC,version.dll,Win64/KillAV.CardSpaceKiller.C,CardSpaceKiller EDR killer.
A3BDB419703A70157F2B7BD1DC2E4C9227DD9FE8,0th3r_av5.exe,Win64/KillAV.CardSpaceKiller.A,CardSpaceKiller EDR killer.
4A57083122710D51F247367AFD813A740AC180A1,DrKiller_Cry_0x000E25C5DF65A3A.exe,Win64/Kryptik.FBC,CardSpaceKiller EDR killer.
DB8BCB8693DDF715552F85B8E2628F060070F920,MegaDrov.sys,Win64/VulnDriver.HwRwDrv.C,CardSpaceKiller EDR killer.
